# Histogram
000000 000000	000000	000000	000000	000000
000001 000000	000000	000000	000000	000000
000002 000000	000000	000000	000000	000000
000003 000000	000000	000000	000000	000000
000004 000000	000000	000000	000000	000000
000005 000000	000000	000000	000000	000000
000006 000000	000000	000000	000000	000000
000007 000000	000000	000000	000000	000000
000008 000000	000000	000000	000000	000000
000009 000000	000000	000000	000000	000000
000010 000000	000000	000000	000000	000000
000011 000000	000000	000000	000000	000000
000012 000000	000000	000000	000000	000000
000013 000000	000000	000000	000000	000000
000014 000000	000000	000000	000000	000000
000015 000010	000000	000000	000000	000010
000016 1664483	000047	000015	000014	1664559
000017 20700102	1393349	4177349	3614683	29885483
000018 8649963	16587531	19424788	19131601	63793883
000019 3109494	6933596	8071502	8276306	26390898
000020 902542	2702627	2845659	3099140	9549968
000021 417165	1290160	805594	975499	3488418
000022 212544	2295747	338001	446680	3292972
000023 100893	2012070	170137	221451	2504551
000024 045850	1399910	082368	111047	1639175
000025 025150	700992	039318	055431	820891
000026 016104	318899	020016	029060	384079
000027 017622	158551	010121	015580	201874
000028 024358	086299	005751	008867	125275
000029 028380	049090	003429	005335	086234
000030 025411	028372	002091	003264	059138
000031 019190	017040	001362	002128	039720
000032 013289	010048	000844	001326	025507
000033 008656	005873	000565	000813	015907
000034 005625	003760	000346	000563	010294
000035 003660	002258	000230	000365	006513
000036 002304	001424	000148	000216	004092
000037 001549	000883	000083	000163	002678
000038 001025	000520	000051	000090	001686
000039 000817	000350	000034	000060	001261
000040 000807	000207	000024	000031	001069
000041 000858	000120	000008	000027	001013
000042 000692	000079	000009	000018	000798
000043 000454	000043	000004	000009	000510
000044 000337	000023	000005	000008	000373
000045 000235	000018	000003	000004	000260
000046 000141	000018	000002	000004	000165
000047 000098	000005	000001	000003	000107
000048 000051	000007	000001	000002	000061
000049 000035	000005	000001	000001	000042
000050 000027	000001	000000	000003	000031
000051 000014	000002	000002	000003	000021
000052 000005	000000	000000	000000	000005
000053 000010	000004	000000	000000	000014
000054 000014	000001	000001	000000	000016
000055 000008	000001	000000	000000	000009
000056 000007	000000	000000	000001	000008
000057 000008	000000	000000	000000	000008
000058 000006	000000	000000	000000	000006
000059 000004	000000	000000	000001	000005
000060 000001	000000	000000	000000	000001
000061 000001	000000	000001	000000	000002
000062 000000	000000	000000	000000	000000
000063 000000	000000	000000	000000	000000
000064 000000	000000	000000	000000	000000
000065 000000	000000	000000	000000	000000
000066 000000	000000	000000	000000	000000
000067 000000	000000	000000	000000	000000
000068 000000	000000	000000	000000	000000
000069 000000	000000	000000	000000	000000
000070 000000	000000	000000	000000	000000
000071 000000	000000	000000	000000	000000
000072 000000	000000	000000	000000	000000
000073 000001	000000	000000	000000	000001
000074 000000	000000	000000	000000	000000
000075 000000	000000	000000	000000	000000
000076 000000	000000	000000	000000	000000
000077 000000	000000	000000	000000	000000
000078 000000	000000	000000	000000	000000
000079 000000	000000	000000	000000	000000
000080 000000	000000	000000	000000	000000
000081 000000	000000	000000	000000	000000
000082 000000	000000	000000	000000	000000
000083 000000	000000	000000	000000	000000
000084 000000	000000	000000	000000	000000
000085 000000	000000	000000	000000	000000
000086 000000	000000	000000	000000	000000
000087 000000	000000	000000	000000	000000
000088 000000	000000	000000	000000	000000
000089 000000	000000	000000	000000	000000
000090 000000	000000	000000	000000	000000
000091 000000	000000	000000	000000	000000
000092 000000	000000	000000	000000	000000
000093 000000	000000	000000	000000	000000
000094 000000	000000	000000	000000	000000
000095 000000	000000	000000	000000	000000
000096 000000	000000	000000	000000	000000
000097 000000	000000	000000	000000	000000
000098 000000	000000	000000	000000	000000
000099 000000	000000	000000	000000	000000
000100 000000	000000	000000	000000	000000
000101 000000	000000	000000	000000	000000
000102 000000	000000	000000	000000	000000
000103 000000	000000	000000	000000	000000
000104 000000	000000	000000	000000	000000
000105 000000	000000	000000	000000	000000
000106 000000	000000	000000	000000	000000
000107 000000	000000	000000	000000	000000
000108 000000	000000	000000	000000	000000
000109 000000	000000	000000	000000	000000
000110 000000	000000	000000	000000	000000
000111 000000	000000	000000	000000	000000
000112 000000	000000	000000	000000	000000
000113 000000	000000	000000	000000	000000
000114 000000	000000	000000	000000	000000
000115 000000	000000	000000	000000	000000
000116 000000	000000	000000	000000	000000
000117 000000	000000	000000	000000	000000
000118 000000	000000	000000	000000	000000
000119 000000	000000	000000	000000	000000
000120 000000	000000	000000	000000	000000
000121 000000	000000	000000	000000	000000
000122 000000	000000	000000	000000	000000
000123 000000	000000	000000	000000	000000
000124 000000	000000	000000	000000	000000
000125 000000	000000	000000	000000	000000
000126 000000	000000	000000	000000	000000
000127 000000	000000	000000	000000	000000
000128 000000	000000	000000	000000	000000
000129 000000	000000	000000	000000	000000
000130 000000	000000	000000	000000	000000
000131 000000	000000	000000	000000	000000
000132 000000	000000	000000	000000	000000
000133 000000	000000	000000	000000	000000
000134 000000	000000	000000	000000	000000
000135 000000	000000	000000	000000	000000
000136 000000	000000	000000	000000	000000
000137 000000	000000	000000	000000	000000
000138 000000	000000	000000	000000	000000
000139 000000	000000	000000	000000	000000
000140 000000	000000	000000	000000	000000
000141 000000	000000	000000	000000	000000
000142 000000	000000	000000	000000	000000
000143 000000	000000	000000	000000	000000
000144 000000	000000	000000	000000	000000
000145 000000	000000	000000	000000	000000
000146 000000	000000	000000	000000	000000
000147 000000	000000	000000	000000	000000
000148 000000	000000	000000	000000	000000
000149 000000	000000	000000	000000	000000
000150 000000	000000	000000	000000	000000
000151 000000	000000	000000	000000	000000
000152 000000	000000	000000	000000	000000
000153 000000	000000	000000	000000	000000
000154 000000	000000	000000	000000	000000
000155 000000	000000	000000	000000	000000
000156 000000	000000	000000	000000	000000
000157 000000	000000	000000	000000	000000
000158 000000	000000	000000	000000	000000
000159 000000	000000	000000	000000	000000
000160 000000	000000	000000	000000	000000
000161 000000	000000	000000	000000	000000
000162 000000	000000	000000	000000	000000
000163 000000	000000	000000	000000	000000
000164 000000	000000	000000	000000	000000
000165 000000	000000	000000	000000	000000
000166 000000	000000	000000	000000	000000
000167 000000	000000	000000	000000	000000
000168 000000	000000	000000	000000	000000
000169 000000	000000	000000	000000	000000
000170 000000	000000	000000	000000	000000
000171 000000	000000	000000	000000	000000
000172 000000	000000	000000	000000	000000
000173 000000	000000	000000	000000	000000
000174 000000	000000	000000	000000	000000
000175 000000	000000	000000	000000	000000
000176 000000	000000	000000	000000	000000
000177 000000	000000	000000	000000	000000
000178 000000	000000	000000	000000	000000
000179 000000	000000	000000	000000	000000
000180 000000	000000	000000	000000	000000
000181 000000	000000	000000	000000	000000
000182 000000	000000	000000	000000	000000
000183 000000	000000	000000	000000	000000
000184 000000	000000	000000	000000	000000
000185 000000	000000	000000	000000	000000
000186 000000	000000	000000	000000	000000
000187 000000	000000	000000	000000	000000
000188 000000	000000	000000	000000	000000
000189 000000	000000	000000	000000	000000
000190 000000	000000	000000	000000	000000
000191 000000	000000	000000	000000	000000
000192 000000	000000	000000	000000	000000
000193 000000	000000	000000	000000	000000
000194 000000	000000	000000	000000	000000
000195 000000	000000	000000	000000	000000
000196 000000	000000	000000	000000	000000
000197 000000	000000	000000	000000	000000
000198 000000	000000	000000	000000	000000
000199 000000	000000	000000	000000	000000
000200 000000	000000	000000	000000	000000
000201 000000	000000	000000	000000	000000
000202 000000	000000	000000	000000	000000
000203 000000	000000	000000	000000	000000
000204 000000	000000	000000	000000	000000
000205 000000	000000	000000	000000	000000
000206 000000	000000	000000	000000	000000
000207 000000	000000	000000	000000	000000
000208 000000	000000	000000	000000	000000
000209 000000	000000	000000	000000	000000
